participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
125,0,0,29,16,5,1,0,-1,1,1,1,0,-1,0,0,-1,-1,1,0,1,0,-1,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,0,10,6,2,0,0,,,1,,1,,,,1,1,,1,,,1,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,0,17,8,7,1,0,0,-1,-1,-1,,1,1,,,1,,1,1,1,,,,,,,,-1,-1,1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,0,7,3,4,1,,,,-1,-1,,1,,,,,,,,,,,1,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,0,18,10,4,0,0,,1,,,,,-1,,-1,-1,1,-1,0,0,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,0,6,6,0,1,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0,0,45,32,6,1,-1,0,1,1,1,1,-1,0,-1,1,-1,1,0,1,0,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,,1,,1,,1,,,1,1,,-1,1,,1,,,,1,,,1,1,1,,1,,,,,,
140,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,0,10,1,9,1,,,-1,-1,-1,,,,,,-1,,-1,,-1,-1,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,1,64,37,17,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,0,1,0,1,1,-1,1,0,1,1,0,1,1,-1
144,0,0,40,22,9,-1,0,0,0,1,0,-1,-1,0,-1,-1,-1,0,0,0,0,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
145,1,0,46,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
147,0,0,54,30,13,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,0,1,1,0,0,1,0,,,,,,,,,,
148,0,0,11,6,4,1,,,1,,,0,,-1,-1,-1,,,,-1,,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,0,33,22,9,1,0,,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,,-1,,1,1,1,-1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
151,0,0,40,26,14,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
152,0,0,18,9,4,1,,,,1,1,0,,0,,-1,-1,1,-1,,,,0,,,-1,,,1,,,0,1,,,,,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,0,40,29,11,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
158,0,0,41,23,14,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,
159,0,0,36,22,11,-1,-1,-1,1,,1,,-1,1,-1,-1,-1,1,1,0,0,-1,,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,
163,0,0,41,25,0,1,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
166,0,0,54,30,13,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,-1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,0,1,1,1,,,,,,,,,,
167,0,0,38,23,8,0,,0,0,1,1,-1,-1,,-1,-1,-1,1,-1,,0,-1,1,1,1,-1,1,,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
168,0,0,16,7,1,0,,0,,,,,0,0,-1,,,,0,0,,,1,1,,,,0,,,,,1,1,1,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,0,25,17,6,0,,,1,1,1,1,-1,,-1,-1,-1,1,-1,0,1,,1,,1,-1,1,1,,,,,,1,,1,,1,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
170,0,1,40,25,8,0,0,0,1,1,1,,-1,-1,-1,-1,-1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,0,1,1,,0,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
171,,0,2,0,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1,0,7,1,0,0,,,,0,,,,,,,,,,,,,,,,,1,,,0,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
178,0,2,56,49,7,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,,,1,,,,1,,,
185,0,0,45,26,9,0,0,0,-1,1,0,1,-1,,-1,-1,-1,1,-1,0,-1,-1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,-1,1,0,,,,,,,,,,,,,,,,,,
189,,0,5,5,0,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0,6,49,35,11,1,0,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,,1,1,,1,0,1,1,1,1,,1,,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
198,0,0,48,31,11,0,0,0,-1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,
