participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
51,,0,12,9,0,,1,0,1,1,,,,1,,,,,1,1,1,,,,1,,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,0,4,2,0,,0,,,,,,,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0,26,18,3,,-1,-1,,0,1,,1,0,1,,0,1,-1,,1,,,1,1,1,,1,1,0,1,1,,0,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,0,7,3,0,,0,,,0,,,,,,1,,,,,,0,,,,,,,,,,,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,0,14,6,1,,1,,1,,,,,,,,,,,1,,,0,0,0,,1,,,0,,0,-1,,,1,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,3,27,21,4,,1,,,1,0,,1,1,1,,,1,,-1,-1,,,1,1,,,,0,,,-1,,1,,1,,,1,1,1,1,1,1,,1,1,,,,,1,,1,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,13,0,0,,0,0,,0,,,,0,,,0,0,0,,,,,,,0,0,,,,,0,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,0,2,1,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,5,28,20,3,,0,0,1,-1,1,,,,,1,,1,1,,1,,1,,,1,1,0,,,,0,,,,1,,,,1,,0,,,,,,1,1,,,,,1,,,,1,,1,,1,-1,,-1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
120,,0,26,13,4,,1,-1,1,,0,,,1,,,1,,0,1,0,-1,,,,,0,,,-1,,,0,,,0,1,1,1,1,,,,,1,0,,1,-1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,0,28,25,1,,1,0,1,0,1,,,,1,-1,1,1,1,1,1,1,,,,,,1,1,,1,1,,1,,1,,1,,,1,,,1,1,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,0,16,12,0,,0,,,,,,0,,1,,,,,0,,,1,,,1,,1,,,,0,1,,,,,,1,,1,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,0,24,3,0,,0,0,0,,0,0,,,0,,0,,,,0,0,0,,,,,,,0,,0,1,,,1,,,0,,,,0,0,0,,0,,0,0,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,0,3,1,1,,0,,,,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,0,20,5,1,,1,,,,1,,,,0,,,,0,,0,,0,,1,,,,,,,,,,,1,0,0,,,,0,,,,,0,0,0,,,,,1,0,,,,,,0,0,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,0,12,9,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,0,,,,,,1,,,,,,,0,,,1,,,,1,,,,,,-1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
172,,0,2,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,1,22,17,1,,0,0,,,,,0,,,,,,,,1,1,,1,1,,1,,,,,,1,,,1,,,,,,,0,,,,,,,,1,,1,,,,,,,1,1,,-1,,,,,,1,,1,,1,,1,,,1,1,,,,,,,,,,,,,,
188,,0,15,8,3,,1,,0,,1,,,,1,,,,,,,,,,,,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,,,,-1,-1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,
198,,0,9,6,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,-1,,,0,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
